SCENARIO_CODE,FEATURE_URL,FEATURE FILE,SCENARIO_TITLE,SCENARIO,POINTS,Capitalize Gherkin keywords,Limit the number of steps per scenario to a maximum of ten,Line length: Limit the number of characters in each step,Number of syllables per word,Use proper spelling,Use proper grammar,Capitalize the first letter of the first word in a scenario title,Do not use punctuation at the end of step phrases,Use single spaces between words,Indent the content beneath every section header,Do not separate steps within a scenario by blank lines,Use of non-technical language,Do not capitalize words in the step phrases unless they are proper nouns,Follow steps order (Given-When-Then),Separate one scenario from another scenario by one blank line,Space table delimiter pipes (“|”) evenly,"Write all tag names in lowercase, and use hyphens to separate words",Limit the length of tag names to one-third of a scenario title,Use tabular presentation for complex information,Do not use legal jargon,Avoid repetition of steps,Provide a title for each scenario
P03_F11_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/carrierwave-master/features,versions_overridden_filename.feature,retrieving a file from cache then storing,"  Background:
    Given an uploader class that uses the 'file' storage
    And that the uploader class has a version named 'thumb'
    And that the uploader has the filename overridden to 'grark.png'
    And an instance of that class
    Scenario: retrieving a file from cache then storing
      Given the file 'fixtures/bork.txt' is cached file at 'public/uploads/tmp/1369894322-345-1234-2255/bork.txt'
      Given the file 'fixtures/monkey.txt' is cached file at 'public/uploads/tmp/1369894322-345-1234-2255/thumb_bork.txt'
      When I retrieve the cache name '1369894322-345-1234-2255/bork.txt' from the cache
      And I store the file
      Then there should be a file at 'public/uploads/grark.png'
      Then there should be a file at 'public/uploads/thumb_grark.png'
      And the file at 'public/uploads/grark.png' should be identical to the file at 'fixtures/bork.txt'
      And the file at 'public/uploads/thumb_grark.png' should be identical to the file at 'fixtures/monkey.txt'",4.41,5,4,3,3,5,2,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
P03_F11_SC_04,https://github.com/mwendamseke/bdd_projects/tree/master/carrierwave-master/features,versions_overridden_filename.feature,retrieving a file from store,"  Background:
    Given an uploader class that uses the 'file' storage
    And that the uploader class has a version named 'thumb'
    And that the uploader has the filename overridden to 'grark.png'
    And an instance of that class
    Scenario: retrieving a file from store
      Given the file 'fixtures/bork.txt' is stored at 'public/uploads/bork.txt'
      Given the file 'fixtures/monkey.txt' is stored at 'public/uploads/thumb_bork.txt'
      When I retrieve the file 'bork.txt' from the store
      Then the uploader should have the url '/uploads/bork.txt'
      And the uploader's version 'thumb' should have the url '/uploads/thumb_bork.txt'",4.5,5,5,3,3,5,3,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
P03_F12_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/carrierwave-master/features,versions_overriden_store_dir.feature,store a file,"  Background:
    Given an uploader class that uses the 'file' storage
    And that the uploader class has a version named 'thumb'
    And that the version 'thumb' has the store_dir overridden to 'public/monkey/llama'
    And an instance of that class

  Scenario: store a file
    When I store the file 'fixtures/bork.txt'
    Then there should be a file at 'public/uploads/bork.txt'
    Then there should be a file at 'public/monkey/llama/thumb_bork.txt'
    And the file at 'public/uploads/bork.txt' should be identical to the file at 'fixtures/bork.txt'
    And the file at 'public/monkey/llama/thumb_bork.txt' should be identical to the file at 'fixtures/bork.txt'",4.59,5,4,3,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P03_F12_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/carrierwave-master/features,versions_overriden_store_dir.feature,cache a file and then store it,"  Background:
    Given an uploader class that uses the 'file' storage
    And that the uploader class has a version named 'thumb'
    And that the version 'thumb' has the store_dir overridden to 'public/monkey/llama'
    And an instance of that class
  Scenario: cache a file and then store it
    When I cache the file 'fixtures/bork.txt'
    Then there should be a file called 'bork.txt' somewhere in a subdirectory of 'public/uploads/tmp'
    Then there should be a file called 'thumb_bork.txt' somewhere in a subdirectory of 'public/uploads/tmp'
    And the file called 'bork.txt' in a subdirectory of 'public/uploads/tmp' should be identical to the file at 'fixtures/bork.txt'
    And the file called 'thumb_bork.txt' in a subdirectory of 'public/uploads/tmp' should be identical to the file at 'fixtures/bork.txt'
    And there should not be a file at 'public/uploads/bork.txt'
    And there should not be a file at 'public/monkey/llama/thumb_bork.txt'
    When I store the file
    Then there should be a file at 'public/uploads/bork.txt'
    Then there should be a file at 'public/monkey/llama/thumb_bork.txt'
    And the file at 'public/uploads/bork.txt' should be identical to the file at 'fixtures/bork.txt'
    And the file at 'public/monkey/llama/thumb_bork.txt' should be identical to the file at 'fixtures/bork.txt'",4.59,5,4,3,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P03_F12_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/carrierwave-master/features,versions_overriden_store_dir.feature,retrieving a file from cache then storing,"  Background:
    Given an uploader class that uses the 'file' storage
    And that the uploader class has a version named 'thumb'
    And that the version 'thumb' has the store_dir overridden to 'public/monkey/llama'
    And an instance of that class
  Scenario: retrieving a file from cache then storing
    Given the file 'fixtures/bork.txt' is cached file at 'public/uploads/tmp/1369894322-345-1234-2255/bork.txt'
    Given the file 'fixtures/monkey.txt' is cached file at 'public/uploads/tmp/1369894322-345-1234-2255/thumb_bork.txt'
    When I retrieve the cache name '1369894322-345-1234-2255/bork.txt' from the cache
    And I store the file
    Then there should be a file at 'public/uploads/bork.txt'
    Then there should be a file at 'public/monkey/llama/thumb_bork.txt'
    And the file at 'public/uploads/bork.txt' should be identical to the file at 'fixtures/bork.txt'
    And the file at 'public/monkey/llama/thumb_bork.txt' should be identical to the file at 'fixtures/monkey.txt'",4.36,5,4,3,3,5,2,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
P04_F01_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,README.markdown,Install cucumber,"Scenario: Install cucumber
Given I am running Ubuntu
And I have followed the instructions and installed CHITS from github
And I have not yet installed cucumber
When I run ""apt-get install ruby ruby1.8-dev rdoc1.8 irb libxml2-dev libxslt1-dev libc6-dev-i386 libopenssl-ruby""
# We install rubygems by hand because the apt version uses strange paths
And I run ""wget http://rubyforge.org/frs/download.php/60718/rubygems-1.3.5.tgz""
And I run ""tar xvf rubygems-1.3.5.tgz""
And I run ""cd rubygems-1.3.5""
And I run ""sudo ruby setup.rb""
And I run ""sudo ln -s /usr/bin/gem1.8 /usr/bin/gem""
# Add github's gem source list
And I run ""gem sources -a http://gems.github.com""
And I run ""sudo gem install cucumber mechanize rspec webrat""
And from the top level chits directory (var/www/chits)I run ""cucumber""
Then I should see cucumber successfully execute all of the stories in the features directory",4.27,5,4,1,1,5,3,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5
P04_F01_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,README.markdown,Writing a new story feature,"Scenario: Writing a new story feature
Given I am in the features directory
When I create a new feature file
And I define any new steps in the step_definition directory
And I run ""cucumber""
Then I should see my feature being executed",4.55,5,5,2,2,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F02_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,about.feature,Visit about page,"  Scenario: Visit about page
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""ABOUT""
    Then I should see ""About CHITS""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F03_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin-credits.feature,Visit admin page,"  Scenario: Visit admin page
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""CREDITS""
    Then I should see ""CHITS DEVELOPMENT""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F04_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin-modules.feature,Visit admin-module page,"  Scenario: Visit admin-module page
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""MODULES""
    Then I should see ""MODULE DATABASE""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F04_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin-modules.feature,A Module DeActivation,"  Scenario: A Module DeActivation
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""MODULES""
    And I click ""Activate Modules""
    And I check ""initmod[]""
    And I press ""Update Activation Status""
    Then I should see ""Permission denied""",4.73,5,5,3,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
P04_F04_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin-modules.feature,A Module Activation,"  Scenario: A Module Activation
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""MODULES""
    And I click ""Activate Modules""
    And I check by value ""appointment""
    And I press ""Update Activation Status""
    Then I should see ""Permission denied""",4.73,5,5,3,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
P04_F05_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin.feature,Visit admin page,"  Scenario: Visit admin page
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""ADMIN""
    Then I should see ""SITE USER FORM""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F05_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin.feature,Create a user,"  @reset_users
  Scenario: Create a user
    Given I am logged in as ""admin"" with password ""admin""
    And I am on the admin page
    And I should not see ""Jackson, Michael""
    When I fill in ""user_firstname"" with ""Michael""
    And I fill in ""user_middle"" with ""King of Pop""
    And I fill in ""user_lastname"" with ""Jackson""
    And I fill in ""user_dob"" with ""08/08/1968""
    And I choose ""user_gender""
    And I fill in ""user_pin"" with ""1234""
    And I select ""Nurse"" from ""role_id""
    And I select ""english"" from ""lang_id""
    And I fill in ""user_login"" with ""jacko""
    And I fill in ""user_password"" with ""neverland""
    And I fill in ""confirm_password"" with ""neverland""
    And I check ""isactive""
    And I press ""Add User""
    And I should see ""Jackson, Michael""
    And I press ""Sign Out""
    And I am on the home page
    And I fill in ""login"" with ""jacko""
    And I fill in ""passwd"" with ""neverland""
    And I press ""Login""
    Then I should see ""logged in""",4.91,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F05_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin.feature,Update a user,"  @reset_users
  Scenario: Update a user
    Given I am logged in as ""admin"" with password ""admin""
    And I am on the admin page
    When I click ""Perez, Alison""
    And I should not see ""alison@kung.fu""
    And I fill in ""user_email"" with ""alison@kung.fu""
    And I press ""Update User""
    And I click ""Perez, Alison""
    Then I should not see ""alison@cm.upm.edu.ph""
    And I should see ""alison@kung.fu""",4.77,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F05_SC_04,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,admin.feature,Delete a user,"  @reset_users
  Scenario: Delete a user
    Given I am logged in as ""admin"" with password ""admin""
    And I am on the admin page
    When I click ""Perez, Alison""
    And I press ""Delete User""
    And I press ""Yes""
    Then I should not see ""Perez, Alison""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F06_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,appointments.feature,Access Appointments Menu,"     Scenario: Access Appointments Menu
       Given I am logged in as ""user"" with password ""user""
       And I click ""APPOINTMENTS""
       Then I should see ""No patients scheduled today.""",4.73,5,5,3,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
P04_F07_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Search Patient,"Scenario: Search Patient
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""Rizal""
And I press ""Search""
Then I should see ""Rizal, Jose""",4.59,5,5,3,3,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F07_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Add Patient,"Scenario: Add Patient
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""Gallo""
And I press ""Search""
And I should see ""NO RECORDS FOUND""
When I fill in ""patient_firstname"" with ""Allan""
And I fill in ""patient_middle"" with ""X""		
And I fill in ""patient_lastname"" with ""Gallo""
And I fill in ""patient_dob"" with ""03/04/2007""
And I select ""Male"" from ""patient_gender""
And I fill in ""patient_mother"" with ""maria""
And I press ""Add Patient""
Then I should see ""Clear Fields""",4.55,5,4,3,3,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F07_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Old Patient,"Scenario: Old Patient
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id""
And I press ""Select Patient""
Then I should see ""VISIT DETAILS""",4.59,5,5,3,3,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F07_SC_04,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Consult,"Scenario: Consult
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SERACH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
Then I should see ""CHILD""",4.59,5,4,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F07_SC_05,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Child Care,"
@reset_consult
Scenario:Child Care
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SERACH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
Then I should see ""NO REGISTRY ID FOR THIS PATIENT""",4.5,5,4,3,3,5,4,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F07_SC_06,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,First Visit,"
@reset_consult
Scenario:First Visit
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
And I should see ""Maya""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
#And I press ""Verify""
#And I should see ""Patient ID does not exists"" 
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
Then I should see ""FIRST VISIT DATA""",4.41,5,2,3,3,5,4,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F07_SC_07,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Siblings," @reset_consult
Scenario:Siblings
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
And I should see ""Maya""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
#And I press ""Verify""
#And I should see ""Patient ID does not exists"" 
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
And I should see ""FIRST VISIT DATA""
And I click ""SIBLINGS""
And I should see ""OTHER FAMILY MEMBERS""
And I check ""patients""
And I press ""Add Sibling""
Then I should see ""FIRST VISIT DATA""
",4.45,5,2,3,3,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F07_SC_08,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Services,"
@reset_consult
Scenario:Services
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
And I should see ""Maya""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
#And I press ""Verify""
#And I should see ""Patient ID does not exists"" 
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
And I should see ""FIRST VISIT DATA""
And I click ""SIBLINGS""
And I should see ""OTHER FAMILY MEMBERS""
And I check ""patients""
And I press ""Add Sibling""
And I should see ""FIRST VISIT DATA""
And I click ""SERVICES""
And I should see ""services""
And I check ""services[]""
And I check ""vaccine[]""
When I press ""Update Record""
And I should see ""services[]""
And I should see ""vaccine[]""
And I click ""BREASTFEEDING""
Then I should see ""FTITLE_CCDEV_BREASTFEED""
",4.41,5,1,3,3,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F07_SC_09,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care.feature,Breastfeeding,"
@reset_consult
Scenario:Breastfeeding
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""ledesma""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
And I should see ""Maya""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
And I should see ""FIRST VISIT DATA""
And I click ""SIBLINGS""
And I should see ""OTHER FAMILY MEMBERS""
And I check ""patients""
And I press ""Add Sibling""
And I should see ""FIRST VISIT DATA""
And I click ""SERVICES""
And I should see ""services""
And I check ""services[]""
And I check ""vaccine[]""
When I press ""Update Record""
And I should see ""services[]""
And I should see ""vaccine[]""
And I click ""BREASTFEEDING""
And I should see ""FTITLE_CCDEV_BREASTFEED""
And I check ""bfed_month[]""
And I fill in ""date_bfed_six"" with ""03/02/2010""
And I press ""Save Breastfeeding Status""
And I should see ""bfed_month""
And I click ""CONSULT""
And I should see ""form_consult""
And I press ""End Consult""
And I should see ""comfirm_end""
When I press ""Yes""
Then I should see ""CONSULTS TODAY""
",4.41,5,1,3,3,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F08_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care2.feature,Old Patient,"Scenario: Old Patient
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""first"" with ""Allan""
When I fill in ""last"" with ""Mendoza""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id""
And I press ""Select Patient""
Then I should see ""VISIT DETAILS""",4.55,5,4,3,3,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5
P04_F08_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care2.feature,Consult," @reset_consult
Scenario: Consult
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""first"" with ""Allan""
When I fill in ""last"" with ""Mendoza""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check ""ptgroup[]""
And I press ""Save Details""
Then I should see ""CHILD""",4.59,5,4,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F08_SC_03,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_care2.feature,Visit Child Care,"
@reset_consult
Scenario:Visit Child Care
When I create a sample patient
#And I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""first"" with ""Allan""
When I fill in ""last"" with ""Mendoza""
And I press ""Search""
And I should see ""SEARCH RESULTS""
And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check by value ""FP""
And I press ""Save Details""
And I should see ""CHILD""
And I click ""CHILD""
And I should see ""services""
And I check ""services[]""
And I check ""vaccine[]""
When I press ""Update Record""
And I should see ""services[]""
And I should see ""vaccine[]""
And I click ""SIBLINGS""
And I should see ""OTHER FAMILY MEMBERS""
And I check ""patients[]""
And I press ""Add Sibling""
And I should see ""FIRST VISIT DATA""
And I click ""BREASTFEEDING""
And I should see ""FTITLE_CCDEV_BREASTFEED""
And I check ""bfed_month[]""
And I fill in ""date_bfed_six"" with ""03/02/2010""
And I press ""Save Breastfeeding Status""
And I should see ""bfed_month""
And I click ""CONSULT""
And I should see ""form_consult""
And I press ""End Consult""
And I should see ""confirm_end""
When I press ""Yes""
Then I should see ""CONSULTS TODAY""",4.36,5,2,3,3,5,4,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5
P04_F09_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_test.feature,First Visit,"
Scenario:First Visit
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""Mendoza""
And I fill in ""first"" with ""Allan""
And I press ""Search""
And I should see ""SEARCH RESULTS""
#And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check by value ""CHILD""
And I press ""Save Details""
And I should see ""Child Care""
And I click ""Child Care""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
#Then the ""MOTHER'S NAME"" field should contain ""Jen""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
And I press ""Verify""
And I should see ""1"" 
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
Then I should see ""PATIENT DATA""",4.45,5,2,3,3,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F09_SC_02,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,child_test.feature,Services,"
Scenario: Services
Given I am logged in as ""user"" with password ""user""
And I click ""TODAY'S PATIENTS""
And I should see ""CONSULTS TODAY""
When I fill in ""last"" with ""Mendoza""
And I fill in ""first"" with ""Allan""
And I press ""Search""
And I should see ""SEARCH RESULTS""
#And I choose ""consult_patient_id"" 
And I press ""Select Patient""
And I should see ""VISIT DETAILS""
And I check by value ""CHILD""
And I press ""Save Details""
And I should see ""Child Care""
And I click ""Child Care""
And I should see ""NO REGISTRY ID FOR THIS PATIENT""
And I click ""FIRST VISIT""
And I should see ""CHILD CARE DATA FORM""
#Then the ""MOTHER'S NAME"" field should contain ""Jen""
And I fill in ""ccdev_date_reg"" with ""03/02/2010""
And I fill in ""mother_px_id"" with ""0000001""
And I press ""Verify""
And I should see ""1"" 
When I select ""Housewife"" from ""mother_occup""
And I select ""College"" from ""mother_educ""
And I fill in ""father_name"" with ""Mario""
And I select ""Barber"" from ""father_occup""
And I select ""College"" from ""father_educ""
And I fill in ""birth_weight"" with ""15""
And I select ""Home"" from ""delivery_location""
When I press ""Save Data""
Then I should see ""FIRST VISIT""
And I click ""SIBLINGS""
And I should see ""NO FAMILY ID FOR THIS PATIENT""
And I click ""SERVICES""
And I should see ""SERVICES""
#And I check by value ""DENT""
#And I check by value ""vaccine[]""
#When I press ""Update Record""
#And I should see ""services[]""
#And I should see ""vaccine[]""
And I click ""BREASTFEEDING""
And I should see ""FTITLE_CCDEV_BREASTFEED""
And I check ""bfed_month[]""
And I fill in ""date_bfed_six"" with ""03/02/2010""
And I press ""Save Breastfeeding Status""
And I should see ""bfed_month""
And I click ""CONSULT""
And I should see ""form_consult""
And I press ""End Consult""
And I should see ""confirm_end""
When I press ""Yes""
Then I should see ""CONSULTS TODAY""
",4.45,5,1,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
P04_F10_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,credits.feature,Visit credits page,"  Scenario: Visit credits page
    Given I am logged in as ""admin"" with password ""admin""
    When I click ""CREDITS""
    Then I should see ""CHITS DEVELOPMENT""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P04_F11_SC_01,https://github.com/mwendamseke/bdd_projects/tree/master/chits-master/features,family.feature,Add A New Family Folder," @reset_families 
   Scenario: Add A New Family Folder
   Given I am logged in as ""user"" with password ""user""
    And I click ""FAMILY FOLDERS""
    When I fill in ""family_address"" with ""1234 ABC Street""
    And I select ""Brgy 1"" from ""barangay""
    And I press ""Create Folder""
    Then I should see ""No members""",4.77,5,5,4,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
